y,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day)
38.33,250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861 ,56.00 
56.61,331.0 ,170.0 ,0.0 ,195.0 ,8.0 ,811.0 ,802 ,28.00 
19.42,190.3 ,0.0 ,125.2 ,166.6 ,9.9 ,1079.0 ,799 ,14.00 
58.78,525.0 ,0.0 ,0.0 ,189.0 ,0.0 ,1125.0 ,613 ,90.00 
30.96,297.0 ,0.0 ,0.0 ,186.0 ,0.0 ,1040.0 ,734 ,7.00 
29.87,143.7 ,170.2 ,132.6 ,191.6 ,8.5 ,814.1 ,805 ,28.00 
71.3,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,756 ,28.00 
47.71,277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,783 ,14.00 
43.57,277.0 ,117.0 ,91.0 ,191.0 ,7.0 ,946.0 ,666 ,28.00 
44.64,213.5 ,0.0 ,174.2 ,159.2 ,11.7 ,1043.6 ,772 ,28.00 
27.68,158.6 ,148.9 ,116.0 ,175.1 ,15.0 ,953.3 ,720 ,28.00 
38.61,359.0 ,19.0 ,141.0 ,154.0 ,10.9 ,942.0 ,801 ,7.00 
26.26,237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,7.00 
14.5,281.0 ,0.0 ,0.0 ,186.0 ,0.0 ,1104.0 ,774 ,7.00 
10.22,255.0 ,0.0 ,0.0 ,192.0 ,0.0 ,889.8 ,945 ,7.00 
28.47,190.3 ,0.0 ,125.2 ,161.9 ,9.9 ,1088.1 ,803 ,28.00 
4.78,153.0 ,102.0 ,0.0 ,192.0 ,0.0 ,888.0 ,943 ,3.00 
27.34,350.0 ,0.0 ,0.0 ,203.0 ,0.0 ,974.0 ,775 ,28.00 
17.95,148.0 ,0.0 ,137.0 ,158.0 ,16.0 ,1002.0 ,830 ,28.00 
12.55,190.3 ,0.0 ,125.2 ,166.6 ,9.9 ,1079.0 ,799 ,3.00 
33.54,166.1 ,0.0 ,163.3 ,176.5 ,4.5 ,1058.6 ,780 ,100.00 
27.92,385.0 ,0.0 ,0.0 ,186.0 ,0.0 ,966.0 ,763 ,14.00 
79.3,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,756 ,91.00 
29.39,296.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1085.0 ,765 ,90.00 
32.84,160.0 ,188.0 ,146.0 ,203.0 ,11.0 ,829.0 ,710 ,28.00 
6.27,385.0 ,0.0 ,0.0 ,186.0 ,0.0 ,966.0 ,763 ,1.00 
24.4,480.0 ,0.0 ,0.0 ,192.0 ,0.0 ,936.2 ,712 ,3.00 
39,424.0 ,22.0 ,132.0 ,178.0 ,8.5 ,822.0 ,750 ,7.00 
14.2,275.0 ,0.0 ,0.0 ,183.0 ,0.0 ,1088.0 ,808 ,7.00 
55.45,355.0 ,19.0 ,97.0 ,145.0 ,12.3 ,967.0 ,871 ,28.00 
39.3,439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,708 ,3.00 
45.71,213.7 ,98.1 ,24.5 ,181.7 ,6.9 ,1065.8 ,785 ,28.00 
40.76,380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,180.00 
56.83,528.0 ,0.0 ,0.0 ,185.0 ,6.9 ,920.0 ,720 ,28.00 
60.2,375.0 ,93.8 ,0.0 ,126.6 ,23.4 ,852.1 ,993 ,56.00 
53.3,380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670 ,270.00 
17.84,213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,786 ,14.00 
11.48,252.5 ,0.0 ,0.0 ,185.7 ,0.0 ,1111.6 ,784 ,7.00 
41.93,475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,365.00 
24.99,194.7 ,0.0 ,100.5 ,165.6 ,7.5 ,1006.4 ,906 ,14.00 
40.68,326.0 ,0.0 ,138.0 ,199.0 ,11.0 ,801.0 ,792 ,28.00 
39.78,332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594 ,180.00 
15.52,167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770 ,3.00 
24.05,183.9 ,122.6 ,0.0 ,203.5 ,0.0 ,959.2 ,800 ,28.00 
39.16,178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,747 ,28.00 
13.09,220.8 ,147.2 ,0.0 ,185.7 ,0.0 ,1055.0 ,744 ,7.00 
19.77,272.8 ,181.9 ,0.0 ,185.7 ,0.0 ,1012.4 ,714 ,7.00 
23.79,155.0 ,183.0 ,0.0 ,193.0 ,9.0 ,877.0 ,868 ,28.00 
8.54,158.0 ,0.0 ,195.0 ,220.0 ,11.0 ,898.0 ,713 ,28.00 
39.64,250.0 ,0.0 ,95.7 ,191.8 ,5.3 ,948.9 ,857 ,56.00 
53.46,167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770 ,56.00 
37.26,321.0 ,0.0 ,128.0 ,182.0 ,11.0 ,870.0 ,780 ,28.00 
20.97,339.0 ,0.0 ,0.0 ,197.0 ,0.0 ,968.0 ,781 ,7.00 
36.3,425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,804 ,3.00 
